UF,Total (1 000 pessoas),Total (1 000 pessoas) CV (%),Branca  (Total),Branca CV (%),Preta Total,Preta CV (%),Parda (Total),Parda CV (%),Amarela ou indígena (Total),Amarela ou indígena CV (%),Ano:
Sergipe,2173,2869999999757,-,25,439339607942742,3,6545613425635377,7,3842415352684743,7,2523687816800839,66,675690961839393,1,4565410500234883,0,50072789494997239,20,188278328361619,2013
Bahia,14485,978000000341,-,19,557608432441803,3,3898055000581087,16,459851383076455,3,3714039237339524,63,468068570779437,1,1603089077727109,0,51447161369856975,16,351361623941074,2013
Minas Gerais,20361,189999999413,-,43,034249503243174,1,6612925256161748,9,2291690036104725,3,8548410385166965,47,51720496442158,1,317781409280786,0,21937652872399377,17,956387494518232,2013
Espírito Santo,3733,091999999946,-,40,109317669490558,2,2662229587173655,8,1207837784029824,4,9821182789241467,51,325993702668349,1,6982236284820234,0,44390484943808134,18,310246000407819,2013
Rio de Janeiro,16615,860999999615,-,45,469591912960382,1,5894805662197693,13,267914198581416,3,277501146540013,41,056565615484438,1,5855336052523306,0,20592827297283123,19,000682893908248,2013
São Paulo,43522,921000001166,-,64,328923568593112,1,1307559889072114,5,9584175390229452,4,5102721277590581,28,204833576112243,2,3509113421233718,1,5078253162733317,10,392226238191721,2013
Paraná,10894,87900000005,-,68,6867082124581,0,99841617184894416,2,6865098328527384,6,1447447030320799,27,457381581996547,2,5436724272493016,1,169400372696012,14,489108356849117,2013
Santa Catarina,6608,8550000002133,-,85,746519971615371,0,65786815314195424,2,1940321531129721,8,7646368248520705,11,918686274732282,4,3470394402438659,0,14076160054324577,22,827869794458636,2013
Rio Grande do Sul,11047,661000000091,-,84,253612040135678,0,6902944212196126,4,7720928101761215,6,1793809823477401,10,748490846517987,4,4538379214927568,0,22580430317004926,21,493778326813086,2013
Mato Grosso do Sul,2523,9360000000374,-,45,010739157291852,2,5478112128160464,4,7207088931434686,7,100035856458609,49,058363743721983,2,3616536427690926,1,210188205842609,16,781485408330301,2013
Mato Grosso,3176,4430000000616,-,35,629483400977129,3,012848652633846,7,9449396083486405,6,0959995839777088,55,713548333295137,1,8523194647591161,0,71202865737816545,18,862107527485708,2013
Goiás,6417,2280000000437,-,36,512847589368036,2,3066314449501761,6,8217832943348373,6,0928438253879804,56,036230537159469,1,5172237142805074,0,62913857913717008,27,502554275555909,2013
Distrito Federal,2763,4879999999289,-,44,70998603376465,2,8497946845130029,7,5092817583584077,7,2704099789810313,46,964029661115887,2,5815047254616297,0,8167025467581488,18,360655855653889,2013
Rondônia,1667,7480000000169,-,29,366666506667663,3,600749780292134,4,8383025562775188,8,6548803609453522,65,507357445901377,1,7280398629051281,0,28767349115293173,26,073481236735603,2014
Acre,803,12700000000586,-,18,240435573235644,5,3309836616475526,3,7815371774124582,13,007722093530255,77,510940303043498,1,5545637298609458,0,46708694630914005,36,762752065760225,2014
Amazonas,3670,6890000000599,-,18,282841512060287,4,8080814219233572,2,5105449304566219,8,7932961874648772,77,472851377086997,1,382016784323634,1,7337621803960332,39,277922404161956,2014
Roraima,446,31799999999623,-,20,301122716474808,5,8868993756495405,6,2446375726497108,7,5840659725847734,69,399127170744535,1,8529155637510972,4,0551125401301196,18,646344171524653,2014
Pará,8109,1730000002071,-,17,700716157324031,3,1805955828735737,7,469225487062249,6,9392259403678604,74,45108200595142,0,99797260049361547,0,37897634966199223,19,7308262997052,2014
Amapá,755,06699999999705,-,22,763779247180402,5,784582789687728,10,007787630688719,11,568202960970805,66,893372867265541,2,6740130591677658,0,33506025486481961,32,695693697810427,2014
Tocantins,1472,7510000000077,-,21,819887814415157,4,3302959349591195,8,2439403185152322,7,5085122051410362,69,714411892240165,1,4841102846240548,0,2217599748275654,36,004997705377683,2014
Maranhão,6841,9450000001743,-,18,079581029195683,2,763980239772668,8,4411838607636334,4,3339327366254725,73,287753136350744,0,82927419665404722,0,19148197369208322,18,70158541315655,2014
Piauí,3228,5560000000105,-,21,868691695360774,3,8671423718357705,6,7973104523814865,7,4003891171811924,71,31031743072586,1,2811972498924835,0,0236804215323301,76,184715947994775,2014
Ceará,8843,7250000000549,-,28,729027572555871,2,5331298378500993,3,4922639312442878,6,3876274381498357,67,280861369537789,1,1110164543518493,0,49784712666063813,30,307039933068609,2014
Rio Grande do Norte,3363,0839999999826,-,38,813580996224566,2,4773700748985106,4,2016865867591191,8,7696839961204898,56,746449673965351,1,6678572786562145,0,23828274305064726,29,105820231605982,2014
Paraíba,3889,5889999999808,-,36,989678897216557,2,0371153825677486,3,3448666107622191,7,3228605757596794,59,588604050993375,1,263487517828507,7,6850441026254504E-2,40,095542067211923,2014
Pernambuco,9196,3739999999925,-,31,760900437143022,2,8271409216027457,5,4136485924758109,6,947452160025577,62,59301234352462,1,4640343080320055,0,23243862685803296,38,591183885783529,2014
Alagoas,3256,7800000000025,-,24,94656255513404,3,2902891408341608,4,4733101719286186,6,2459534631230529,70,076002864133187,1,2674166470873167,0,50412440880405285,38,11779319368263,2014
Sergipe,2194,6679999999596,-,24,386081727167543,4,4024585391942939,5,8880903172571344,8,6471236591292424,69,304965542309233,1,539901556464889,0,42086241326687018,20,080418086271067,2014
Bahia,14546,705000000884,-,20,362879376794069,3,7507478397519862,17,651723976906339,3,812710503449781,61,617699693344214,1,1578029278209383,0,36769695295663934,19,280795190257852,2014
Minas Gerais,20498,406000000174,-,43,152371645808316,1,8079380715583695,8,9330250341671746,4,0687799913061715,47,59438381714935,1,5015696364330267,0,32021950287681172,24,372205844376939,2014
Espírito Santo,3780,9940000000452,-,40,233362189332979,2,3960246760893029,8,8719281178805147,4,3221360155661426,50,7477044851112,1,8004751035278745,0,14700520767729278,22,888662976425607,2014
Rio de Janeiro,16725,691999999912,-,46,562976453629652,1,5983617265991856,11,947880476556367,3,2364434717979207,41,264409425000409,1,5642424369550414,0,22473364481292576,18,694596856119009,2014
São Paulo,43931,868999999977,-,64,303011320976509,1,2274963320489942,5,7746261341179919,4,8778591044159585,28,055882105573652,2,4912959029434738,1,8664804393328442,12,261289072083947,2014
Paraná,10984,605999999625,-,69,422586628430608,1,0158455697328765,2,8761350809992723,6,6403579855049104,26,553419896036715,2,5456596207760711,1,147858394535695,12,481466718182032,2014
Santa Catarina,6698,7520000002987,-,87,65020162397596,0,55116507505456347,2,4253099053278269,8,2318738562817231,9,75715624126458,4,4772043003338595,0,16733222942886483,21,450907975896865,2014
